151692693_1_r
-226910_0
135508728_2
-224580_0
-223380_0
484481550_0_r
87492960_0_r
352554827_3
396569635_0
-314269_0
86968180_4
151692693_1
320644571_1
-584714_0
162594053_1_r
-225234_0
203346461_1_r
-637305_0
128476294_0
138674114_0_r
-224516_0
198568707_0
386235065_0_r
249400083_0
-225720_0
222378970_0
194809108_0_r
144840213_7
-226946_0
198568709_0
-622592_0
162596298_0_r
174819707_0_r
352554827_5
42957660_0
-224532_0
327689186_0
137171159_5_r
326369074_0
327689185_1
75224295_0
85428496_0
162594053_3
222378970_0_r
87229477_0_r
128476297_0_r
191911416_0_r
402842863_0_r
183855377_0
154197960_0
-577687_0_r
-311732_0_r
-225762_0
123232665_0
-222912_0
198455442_7
86161618_2
128177388_2_r
197495049_5_r
564203065_1_r
-224906_0
162596304_5
198287626_4
-226902_0
132600769_2_r
286081202_0_r
355684382_1_r
326367062_1
139742885_0_r
396569627_1
82383834_0
-225324_0
339584706_0
452743070_1
-2583802_0
31403264_0
83689326_3
42957624_0
31403722_5
402838400_0_r
-325413_0
154288097_0_r
-224452_0
464709586_0
105592024_0_r
247609423_0_r
28532842_1
-563361_0_r
386235062_0
-224846_0
505119155_0
125685974_0_r
-653307_0
31386044_0
137533886_0_r
31402411_0
154350788_1_r
155101542_1_r
54171787_4
352554827_5_r
8146475_5_r
67601902_2
-225878_0
-652831_0
70264331_0_r
132600621_0_r
35762985_0_r
338078606_0
177181050_3
179534811_0
34327460_3_r
203112732_0
-223442_0
372439878_0
105586780_0
-318239_0_r
145439684_0
320794046_0_r
-224752_0
226876210_0_r
542952346_0_r
79629141_0
306104720_0
-224930_0
75223855_2
-225230_0_r
209281518_1
31403722_13_r
94233687_0_r
-623134_0
246418129_0_r
224933670_0
-653487_0_r
528751504_7_r
355775318_6
-222816_0
203182158_0
213412608_0
125067837_0_r
125547534_0_r
100444295_1
102660058_1
-650584_0
326520777_3
198463073_6_r
106745999_0_r
114140102_4
372665755_0
386385436_0
198287559_0
194809108_2
123279922_2_r
118224078_0_r
198455443_11
31397172_6
-641747_0
178024119_0
85696832_0_r
-629477_0
180179876_0
106745999_0
172398794_0_r
306110005_0
-224954_0
162594053_9
-574571_0
246418129_0
351640636_0
528751504_4_r
-225726_0
411606692_4
75234313_0
162594053_0_r
66087372_0_r
224609453_0
128476297_2_r
31389682_2
125530142_0_r
4459921_0
198457956_0
138276000_0_r
306105502_0_r
306817309_0_r
31365093_7_r
-223430_0
232272446_1_r
320340156_0
364509531_0
372665788_0_r
147896813_4_r
-225170_0
192140955_1
-328566_0
198311047_2
-320413_0_r
-225292_0
-623037_0_r
-224788_0
393290082_0
-223394_0
343513737_0
-622656_0_r
122317591_0
-222900_0
124801330_0_r
137171159_2
190982115_0_r
-638461_0
132600645_1_r
191072279_0
203476125_0_r
-224884_0
-225226_0_r
-2584924_0
203559074_1_r
128679270_0_r
320861727_0_r
-317064_0
215291066_0
-223436_0
-312964_0_r
203360344_0
-222802_0
186045973_0_r
35763011_0_r
192402850_0_r
-224472_0
233312901_0
546811412_1
86968182_0
326520774_0
320921378_0
236070080_0
143190686_0
60257771_0
135508728_4
31371179_0
373874632_0_r
147909878_0_r
151652641_0
192292867_7
-321881_0_r
183855376_5_r
352554827_0_r
301175680_3
147896813_5
233312899_0_r
313792160_0_r
147896813_0_r
28208222_0_r
-328548_0_r
192140961_2
191911398_1
-320448_0
326369074_2
315262250_0
-226964_0
-654226_0_r
-225238_0
-576564_0
31365093_2_r
-641740_0
-622898_0_r
396581961_0
179646555_2
105592024_1_r
172409716_0_r
-2583482_0
160227148_0
212817654_1
215291057_0_r
451305437_1
-640231_0_r
326369078_0
124801384_1
221519678_2_r
-225236_0_r
-225202_0
172409715_6
-563037_0_r
31376723_0
24934104_1_r
57684250_0_r
24934104_5_r
91766526_1
-225312_0_r
192217548_0_r
31397568_2_r
122790595_7_r
-222924_0
-224662_0
203559222_0
329921353_0
92119056_17
161302691_0_r
309469487_0_r
125560616_0
355684382_0
321278095_0
194741477_0
4456664_6_r
321719700_1_r
203181732_0_r
92128268_0
8146475_0_r
195709084_0_r
-224790_0
530491581_1
-224500_0
172372865_0
380405195_0_r
83689328_0
98034304_0
-320431_0
-224612_0
236070080_2
473018724_0_r
198177500_0
198455443_0
-225778_0_r
327689185_0
162594053_5_r
231632900_0_r
244821939_0_r
-315905_0
-649806_0
82383834_1
203558930_0
128993763_0_r
124801370_0
31713994_0
42956168_1_r
31403722_6_r
424018467_0_r
312109576_0
42982780_0
386235062_3
364509703_0
128723219_0
54410905_0_r
558997599_0_r
43113203_0_r
198569613_0_r
67814886_0
112049703_0
165198489_0
339588386_0
-225198_0
-225332_0
-577407_0_r
-649551_0_r
114141059_0_r
87229477_0
42957915_0_r
38252651_1
-608815_0_r
355684382_0_r
31365661_0
341148197_0_r
123279922_4
106746717_0
222910679_0
155101542_1
337579432_0_r
301175680_4
391734677_0
-320427_0
199742298_0_r
233006896_0
-225400_0
-226984_0_r
162594053_4
-652883_0_r
144840230_2
301175680_11_r
95166372_0
92119056_7
67814890_0
-641979_0_r
105592031_0
-653394_0
4461533_3
-320427_0_r
128679254_0_r
83689328_1
131599097_0_r
-641380_0_r
198463074_0
-320406_0_r
-223444_0
232384508_1
31378213_0
172359244_0
211157683_0
240355306_0
104359634_0_r
-580122_0_r
136287514_2_r
-623040_0
-653395_0_r
86968188_0
125067839_0
-226918_0
66087340_0
174502592_1
168429234_1_r
326522009_2
-653392_0
380990484_0_r
-2583795_0
215291066_0_r
83689326_0
122790595_5_r
-2584395_0
-317064_0_r
147909872_1_r
144840213_4
232374428_1
-224544_0
154191727_0
125560629_0_r
160457869_0_r
-641490_0
132600766_1_r
42475336_4
168429233_0
-601163_0
122788402_5
198457949_2
138361483_0
164926769_0
-224444_0
179246762_5
172409716_0
4460801_0_r
528751518_5_r
192402852_0
504612161_4
195305044_0
-224898_0_r
-2585099_0
42982753_0
203214368_1_r
397133076_1
203439362_0
4456664_2
131599096_1_r
128177387_0_r
164926319_0_r
253093393_0
310856845_0
-222824_0
-652883_0
198287612_2
132600645_6_r
400942846_3
-2586408_0
-623041_0
-224856_0
318822108_0
-317075_0
-224418_0
240472687_0
-226968_0_r
-224676_0
-225246_0_r
162596304_1
267362155_0
-224584_0
200914604_0
95168026_0_r
306112179_0
139741458_0_r
-313951_0
320339334_0_r
197495049_7
253093392_0
24934104_2
313801199_0
-224834_0
176671977_6
224706125_0_r
-2584399_0
235869931_0
-653390_0
154191725_0_r
162594065_4
181081965_0_r
-654452_0_r
-224810_0
174811044_0
423130646_0_r
-562999_0_r
-2583475_0
80243458_1
364496402_0
375401913_0
137171159_1_r
179246762_4_r
-225322_0_r
-226978_0
301175679_2_r
128476294_0_r
35762985_0
-562635_0
132600645_0
105586777_0_r
111488414_0
70483284_0
122316973_0
180179874_0_r
70483283_0_r
128147915_0_r
83689326_1
147896807_1
377847691_0_r
87492963_0
397133077_1
-222976_0
-226954_0_r
31403059_5
83689328_6
198571879_0
339584706_0_r
152775896_0
-226928_0_r
-224462_0
-313746_0_r
86968191_2
312038383_5
-640230_0_r
-222840_0
528751518_6
-328546_0
-226914_0
147473940_1
144840230_2_r
444796273_1
197495049_2
-224570_0
-224840_1
164926333_0
320794026_0
570780152_0
-224884_0_r
244821939_0
326369074_5
373874632_0
43113248_0
-652891_0
-223432_0
-614626_0
237026766_0
-224908_0
172394067_0_r
80243458_2
-226884_0_r
106746729_0_r
31365446_0
-222962_0
31403059_3
24934104_4_r
172301808_0
321719700_0
136287514_4
240355306_2
326369575_0_r
-224894_0
60257771_2
192292869_0
198455442_4_r
-225728_0
45418777_0_r
-652885_0_r
327687872_0
-622593_0
-224730_0
79629144_1
-222860_0
172359245_2
181081956_0_r
343714318_0
-224634_0
363570750_0_r
86968183_4
528751517_1
-322631_0
-622655_0
301175680_10_r
-640323_0
128679296_0_r
-226898_0
-328569_0_r
-653488_0
313988626_0_r
82219081_0
197495049_14
192292867_5_r
226876191_0_r
198287618_1
128177371_0
128967365_1
307017390_0
-224970_0
203439364_0_r
377708609_0_r
302116328_1
-225376_0
374401264_0
-224872_0_r
198177499_5_r
306110001_0_r
118694409_0
-225192_0
-222866_0
136694855_2_r
-614848_0_r
-313746_0
136694855_0_r
-223410_0
91636271_0
198463073_9
85287003_0_r
172372865_4_r
192433525_0_r
125560623_0
-226948_0
31403722_11
191911365_0_r
313792160_0
-649809_0
-622655_0_r
300857232_0_r
147896813_3_r
203211359_0
123279921_0_r
174502592_0_r
341274084_0
4456664_6
-2583793_0
364496402_0_r
137234622_0_r
-222848_0
370375260_1
528751518_6_r
189818904_0
444796271_0_r
396569640_0
-638412_0_r
-639347_0
-224840_0
192140961_2_r
321159668_0_r
128679254_1_r
8146475_5
154567752_0
-622906_0_r
95208330_0_r
-653391_0_r
122795347_0
147912180_2
152255394_0
241930916_0_r
195305044_4
85696833_0
542952343_0_r
179246762_5_r
33994931_0_r
-225190_0
100975662_0_r
260978945_0_r
31375389_4
31400598_0
294995008_0
396587874_0
31378656_4
-224906_0_r
198455442_3_r
333823916_0
-653062_0_r
226876198_0
128723237_5
54171787_0
86968191_0
-224948_0
396569637_0_r
122795347_1
-224906_1_r
86146454_9
-225298_0
137171159_4
306110000_0
104126681_0
155243192_0_r
473018724_0
-222898_0
364509654_0
565150249_1
132600766_0_r
228483901_0_r
96358074_0
-2585670_0
396574207_0_r
510116716_1
-653490_0
321159668_0
-2823966_0
137531863_1
-226944_0
180179873_0
